UP,Down,contronler,hard
0,0,contronler_588,hard_2
0,0,contronler_589,hard_2
0,0,contronler_590,hard_2
0,0,contronler_591,hard_2
0,0,contronler_592,hard_2
0,0,contronler_593,hard_2
0,0,contronler_594,hard_2
0,0,contronler_594,hard_2
0,0,contronler_595,hard_2
0,0,contronler_596,hard_2
0,0,contronler_597,hard_2
0,0,contronler_598,hard_2
0,0,contronler_599,hard_2
0,0,contronler_600,hard_2
0,0,contronler_600,hard_2
0,0,contronler_601,hard_2
0,0,contronler_602,hard_2
0,0,contronler_603,hard_2
0,0,contronler_603,hard_2
0,0,contronler_603,hard_2
0,0,contronler_604,hard_2
0,0,contronler_605,hard_2
0,0,contronler_606,hard_2
0,0,contronler_607,hard_2
0,0,contronler_608,hard_2
0,0,contronler_609,hard_2
0,0,contronler_610,hard_2
0,0,contronler_611,hard_2
0,0,contronler_612,hard_2
0,0,contronler_612,hard_2
0,0,contronler_613,hard_2
0,0,contronler_614,hard_2
0,0,contronler_615,hard_2
0,0,contronler_616,hard_2
0,0,contronler_617,hard_2
0,0,contronler_618,hard_2
0,0,contronler_618,hard_2
0,0,contronler_619,hard_2
0,0,contronler_619,hard_2
0,0,contronler_620,hard_2
0,0,contronler_621,hard_2
0,0,contronler_622,hard_2
0,0,contronler_623,hard_2
0,0,contronler_624,hard_2
0,0,contronler_625,hard_2
0,0,contronler_626,hard_2
0,0,contronler_626,hard_2
0,0,contronler_627,hard_2
0,0,contronler_628,hard_2
0,0,contronler_629,hard_2
0,0,contronler_630,hard_2
0,0,contronler_630,hard_2
0,0,contronler_631,hard_2
0,0,contronler_632,hard_2
0,0,contronler_632,hard_2
0,0,contronler_633,hard_2
0,0,contronler_634,hard_2
0,0,contronler_635,hard_2
0,0,contronler_636,hard_2
0,0,contronler_637,hard_2
0,0,contronler_638,hard_2
0,0,contronler_638,hard_2
0,0,contronler_639,hard_2
0,0,contronler_640,hard_2
0,0,contronler_641,hard_2
0,0,contronler_641,hard_2
0,0,contronler_641,hard_2
0,0,contronler_642,hard_2
0,0,contronler_643,hard_2
0,0,contronler_644,hard_2
0,0,contronler_645,hard_2
0,0,contronler_645,hard_2
0,0,contronler_646,hard_2
0,0,contronler_646,hard_2
0,0,contronler_647,hard_2
0,0,contronler_647,hard_2
0,0,contronler_648,hard_2
0,0,contronler_648,hard_2
0,0,contronler_649,hard_2
0,0,contronler_649,hard_2
0,0,contronler_650,hard_2
0,0,contronler_650,hard_2
0,0,contronler_651,hard_2
0,0,contronler_652,hard_2
0,0,contronler_653,hard_2
0,0,contronler_653,hard_2
0,0,contronler_654,hard_2
0,0,contronler_655,hard_2
